ds,frequency
2021-03-09 00:00:00,11467
2021-03-10 00:00:00,10418
2021-03-10 01:00:00,10295
2021-03-09 23:00:00,9806
2021-03-10 02:00:00,9453
2021-03-09 22:00:00,9286
2021-03-09 01:00:00,9180
2021-03-10 03:00:00,8753
2021-03-09 02:00:00,8680
2021-03-10 04:00:00,8672
2021-03-10 05:00:00,8354
2021-03-08 23:00:00,8261
2021-03-09 03:00:00,8119
2021-03-09 21:00:00,7948
2021-03-09 04:00:00,7746
2021-03-10 06:00:00,7434
2021-03-09 05:00:00,7247
2021-03-09 20:00:00,6968
2021-03-09 06:00:00,6927
2021-03-10 07:00:00,6604
2021-03-08 22:00:00,6550
2021-03-09 07:00:00,6221
2021-03-10 08:00:00,6159
2021-03-08 21:00:00,5940
2021-03-10 10:00:00,5848
2021-03-09 08:00:00,5684
2021-03-10 09:00:00,5658
2021-03-09 19:00:00,5656
2021-03-09 09:00:00,5485
2021-03-10 11:00:00,5291
2021-03-08 20:00:00,5050
2021-03-09 10:00:00,4880
2021-03-10 12:00:00,4647
2021-03-09 18:00:00,4477
2021-03-09 11:00:00,4275
2021-03-08 19:00:00,4196
2021-03-09 16:00:00,4030
2021-03-09 15:00:00,3975
2021-03-09 17:00:00,3974
2021-03-09 12:00:00,3680
2021-03-08 10:00:00,3624
2021-03-09 14:00:00,3475
2021-03-09 13:00:00,3381
2021-03-08 18:00:00,3377
2021-03-08 15:00:00,3353
2021-03-08 16:00:00,3299
2021-03-08 17:00:00,3188
2021-03-08 11:00:00,3169
2021-03-08 12:00:00,2944
2021-03-08 14:00:00,2767
2021-03-08 13:00:00,2660
2021-03-10 13:00:00,2401
2021-03-08 09:00:00,1057
